,O,D,flow,O_id,D_id
478,3.6047E+11,3.6047E+11,1332,1841,1841
479,3.6061E+11,3.6061E+11,1331,3333,3333
480,3.6081E+11,3.6081E+11,1331,4555,4555
481,3.6005E+11,3.6005E+11,1330,778,953
482,3.6085E+11,3.6085E+11,1329,6574,6574
483,3.6061E+11,3.6061E+11,1329,3358,3326
484,3.6061E+11,3.6061E+11,1328,3490,3490
485,3.60811E+11,3.60811E+11,1327,6173,6173
486,3.6061E+11,3.6061E+11,1325,3676,3701
487,3.6085E+11,3.6085E+11,1324,6572,6572
488,3.6061E+11,3.6061E+11,1321,4479,4481
489,3.6085E+11,3.6085E+11,1319,6583,6583
490,3.6005E+11,3.6005E+11,1318,321,321
491,3.6081E+11,3.6081E+11,1317,5233,5233
492,3.6005E+11,3.6005E+11,1317,948,948
493,3.6085E+11,3.6085E+11,1315,6468,6468
494,3.6085E+11,3.6085E+11,1315,6438,6438
495,3.6061E+11,3.6061E+11,1314,3671,3675
496,3.60471E+11,3.60471E+11,1313,3017,3017
497,3.6047E+11,3.6047E+11,1312,1197,1184
498,3.60471E+11,3.60471E+11,1310,2684,2684
499,3.6085E+11,3.6085E+11,1310,6345,6345
500,3.6085E+11,3.6085E+11,1309,6257,6257
501,3.6085E+11,3.6085E+11,1309,6390,6390
502,3.6085E+11,3.6085E+11,1306,6269,6269
503,3.6061E+11,3.6061E+11,1304,3661,3661
504,3.6081E+11,3.6081E+11,1304,5269,5269
505,3.60811E+11,3.60811E+11,1303,5907,5907
506,3.6047E+11,3.6047E+11,1302,1879,1879
507,3.6081E+11,3.6081E+11,1301,5134,5134
508,3.6061E+11,3.6061E+11,1300,3755,3675
509,3.6081E+11,3.6081E+11,1300,4642,4642
510,3.6061E+11,3.6061E+11,1295,3755,3779
511,3.6085E+11,3.6085E+11,1294,6565,6565
512,3.6005E+11,3.6005E+11,1292,220,220
513,3.60811E+11,3.60811E+11,1292,5869,5869
514,3.6047E+11,3.6047E+11,1289,1244,1244
515,3.6047E+11,3.6047E+11,1287,2073,2073
516,3.60811E+11,3.60811E+11,1286,6133,6133
517,3.6047E+11,3.6047E+11,1285,1494,1494
518,3.6061E+11,3.6061E+11,1284,3451,3451
519,3.6061E+11,3.6061E+11,1283,4103,4103
520,3.6085E+11,3.6085E+11,1282,6346,6346
521,3.60811E+11,3.60811E+11,1281,5645,5777
522,3.6061E+11,3.6061E+11,1279,4484,3323
523,3.6061E+11,3.6061E+11,1275,3693,3690
524,3.60811E+11,3.60811E+11,1275,6185,6185
525,3.60471E+11,3.60471E+11,1273,2578,2578
526,3.60471E+11,3.60471E+11,1272,2709,2709
527,3.60811E+11,3.60811E+11,1269,5811,5811
528,3.6085E+11,3.6085E+11,1269,6420,6420
529,3.6061E+11,3.6061E+11,1267,4192,4192
530,3.6085E+11,3.6085E+11,1267,6411,6411
531,3.6081E+11,3.6081E+11,1266,4637,4637
532,3.60471E+11,3.60471E+11,1266,2732,2732
533,3.6061E+11,3.6061E+11,1264,3621,3615
534,3.6047E+11,3.6047E+11,1264,1408,1408
535,3.6061E+11,3.6061E+11,1263,3730,3731
536,3.6005E+11,3.6005E+11,1263,381,121
537,3.6061E+11,3.6061E+11,1261,3489,3489
538,3.60471E+11,3.60471E+11,1260,2652,2652
539,3.6085E+11,3.6085E+11,1260,6381,6381
540,3.6085E+11,3.6085E+11,1259,6462,6462
541,3.6085E+11,3.6061E+11,1258,6249,3311
542,3.6061E+11,3.6061E+11,1257,3330,3329
543,3.6085E+11,3.6085E+11,1255,6365,6365
544,3.6061E+11,3.6061E+11,1255,3358,3358
545,3.6081E+11,3.6081E+11,1254,4596,4596
546,3.60811E+11,3.60811E+11,1251,5606,5606
